Status,Ordertyp,WKN,Limit,Nom,ANom,Order_Value,Timestamp,JIM_Value,Spread_Prozentual,Target_Market_Count,Tradegate_Volume,Risk Score,Decision,Reasons,jim_risk,spread_risk,mp_risk,tgv_risk
Eingegeben,Limitiert,A40QVT,16,"5,000",,80000.0,2026-04-14 09:22:14.8807,4980.75,0.0,4.0,4992.2,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,886423,317.9,3,,953.6999999999999,2026-04-14 09:30:33.7105,0.0,0.0085,3.0,4131.2,13.701517857142857,Automatic,All risk factors within automatic limits,10,0.8500000000000001,2,0.851517857142857
Geändert,Limitiert,812960,19.88,50,,994.0,2026-04-14 09:27:57.5482,5009.16,0.0027,5.0,5023.9800000000005,1.5551,Automatic,All risk factors within automatic limits,0.3976,0.27,0,0.8875
Löschung wegen Timer,Limitiert,920657,73.61,25,,1840.25,2026-04-14 09:26:27.6587,63680.3,0.0,6.0,63760.0,2.379180357142857,Automatic,All risk factors within automatic limits,0.7361,0.0,0,1.643080357142857
Eingegeben,Limitiert,855471,11.035,360,,3972.6,2026-04-14 09:27:56.4015,9871.95,0.0028,4.0,5372.5,5.89004,Automatic,All risk factors within automatic limits,1.58904,0.27999999999999997,0,4.021
Eingegeben,Limitiert,A3EUCD,191,65,,12415.0,2026-04-14 09:29:38.9384,39886.6,0.0075,4.0,39960.0,17.284365627642245,Automatic,All risk factors within automatic limits,6.534365627642244,0.75,0,10
Ausgeführt,Limitiert,A2PSR2,80.05,,225,18011.25,2026-04-14 09:29:46.9628,16427.45,0.0006,5.0,12390.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A2PSR2,80.05,225,,18011.25,2026-04-14 09:29:46.9628,16427.45,0.0006,5.0,12390.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Gelöscht,Limitiert,A400EJ,1.09,"27,524",,30001.160000000003,2026-04-14 09:30:30.4877,0.0,0.0493,4.0,2857.995,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,918422,177.68,,12,2132.16,2026-04-14 09:30:53.4209,48192.82,0.0002,5.0,48354.0,2.7765782857142858,Automatic,All risk factors within automatic limits,0.852864,0.02,0,1.9037142857142857
Eingegeben,Limitiert,918422,177.68,12,,2132.16,2026-04-14 09:30:53.4209,48192.82,0.0002,5.0,48354.0,2.7765782857142858,Automatic,All risk factors within automatic limits,0.852864,0.02,0,1.9037142857142857
Eingegeben,Limitiert,857658,35,50,,1750.0,2026-04-14 09:28:13.4843,4904.599999999999,0.0036,5.0,4932.0,2.6225,Automatic,All risk factors within automatic limits,0.7,0.36,0,1.5625
Ausgeführt,Limitiert,852927,26,,200,5200.0,2026-04-14 09:22:12.1517,9875.25,0.0081,4.0,9900.0,9.056683675313078,Automatic,All risk factors within automatic limits,2.2,0.8099999999999999,0,6.046683675313077
Ausgeführt,Limitiert,852927,26,,200,5200.0,2026-04-14 09:22:12.1517,9875.25,0.0081,4.0,9900.0,9.056683675313078,Automatic,All risk factors within automatic limits,2.2,0.8099999999999999,0,6.046683675313077
Eingegeben,Limitiert,852927,26,200,,5200.0,2026-04-14 09:22:12.1517,9875.25,0.0081,4.0,9900.0,9.056683675313078,Automatic,All risk factors within automatic limits,2.2,0.8099999999999999,0,6.046683675313077
