WKN_Id;WKN;Timestamp;JIM_Value;Target_Market_Count;Present_Markets;Spread_Absolut;Spread_Prozentual;Best_Bid;Best Ask;Tradegate_Volume
181060;A3ET99;2026-04-14 09:23:04.9736;20561.144;4;['SC1', 'F', 'LS1', 'TG'];0.002;0.0003;6.856;6.858;20568.0
1494250;A12EAP;2026-04-14 09:23:05.1711;4812.5187;3;['F', 'TG', 'LS1'];0.0086;0.0179;0.4813;0.4899;4813.0
646474;A119V1;2026-04-14 09:23:05.2653;4455.7182;3;['F', 'LS1', 'TG'];0.0076;0.123;0.0618;0.0694;4455.78
612738;A1CYV4;2026-04-14 09:23:05.3653;0.0;2;['LS1', 'F'];0.06;0.0423;1.42;1.48;0.0
3595945;A3EX6S;2026-04-14 09:23:05.4572;0.0;1;['F'];0.022;0.6111;0.036;0.058;0.0
1024358;590336;2026-04-14 09:23:05.6392;0.0;4;['TG', 'LS1', 'SC1', 'F'];1.08;0.0132;81.92;83.0;9912.32
1014537;A403TF;2026-04-14 09:23:05.6996;9991.369999999999;3;['TG', 'F', 'BB1'];0.03;0.0114;2.63;2.66;9994.0
199091;A0B9SX;2026-04-14 09:23:05.7906;0.0;2;['F', 'LS1'];0.003;0.0173;0.173;0.176;0.0
138365;A0CATL;2026-04-14 09:23:05.8884;0.0;3;['SC1', 'LS1', 'F'];3.0;0.0438;68.5;71.5;0.0
1976143;A3C5A3;2026-04-14 09:23:05.9841;3161.07;4;['TG', 'F', 'LS1', 'SC1'];0.0045;0.0048;0.93;0.9345;3162.0
1496976;A2PZ63;2026-04-14 09:23:06.0967;5264.73;4;['TG', 'LS1', 'SC1', 'F'];0.04;0.0076;5.28;5.32;5270.0
794712;A12EDV;2026-04-14 09:23:06.1546;0.0;2;['BB1', 'F'];0.585;0.0244;24.005;24.59;0.0
357924;A0Q10L;2026-04-14 09:23:06.2002;4030.722;3;['F', 'TG', 'LS1'];0.017;0.0594;0.286;0.303;4031.0000000000005
